ENTIDAD,ANUAL,MESES,Tmax,AÑO
AGUASCALIENTES,25.2,ENE,20.7,1985
BAJA CALIFORNIA,25.9,ENE,17.6,1985
BAJA CALIFORNIA SUR,29.9,ENE,22.7,1985
CAMPECHE,33.4,ENE,30.0,1985
COAHUILA,26.7,ENE,15.1,1985
COLIMA,32.2,ENE,30.5,1985
CHIAPAS,30.0,ENE,28.1,1985
CHIHUAHUA,24.7,ENE,14.1,1985
DISTRITO FEDERAL,23.0,ENE,21.1,1985
DURANGO,25.4,ENE,17.8,1985
GUANAJUATO,25.6,ENE,22.1,1985
GUERRERO,31.2,ENE,30.4,1985
HIDALGO,23.6,ENE,21.1,1985
JALISCO,28.5,ENE,24.7,1985
ESTADO DE MÉXICO,22.2,ENE,20.5,1985
MICHOACÁN,28.0,ENE,26.0,1985
MORELOS,28.7,ENE,28.0,1985
NAYARIT,31.4,ENE,27.3,1985
NUEVO LEÓN,27.4,ENE,17.8,1985
OAXACA,28.4,ENE,27.1,1985
PUEBLA,24.7,ENE,23.0,1985
QUERÉTARO,25.9,ENE,22.3,1985
QUINTANA ROO,31.9,ENE,28.8,1985
SAN LUIS POTOSÍ,27.3,ENE,21.5,1985
SINALOA,31.7,ENE,25.1,1985
SONORA,30.0,ENE,20.3,1985
TABASCO,32.3,ENE,27.4,1985
TAMAULIPAS,29.7,ENE,20.6,1985
TLAXCALA,21.7,ENE,20.3,1985
VERACRUZ,28.1,ENE,23.2,1985
YUCATÁN,32.8,ENE,30.1,1985
ZACATECAS,25.3,ENE,19.7,1985
AGUASCALIENTES,25.2,FEB,23.7,1985
BAJA CALIFORNIA,25.9,FEB,19.5,1985
BAJA CALIFORNIA SUR,29.9,FEB,24.3,1985
CAMPECHE,33.4,FEB,31.8,1985
COAHUILA,26.7,FEB,19.3,1985
COLIMA,32.2,FEB,31.9,1985
CHIAPAS,30.0,FEB,29.2,1985
CHIHUAHUA,24.7,FEB,18.3,1985
DISTRITO FEDERAL,23.0,FEB,22.5,1985
DURANGO,25.4,FEB,21.0,1985
GUANAJUATO,25.6,FEB,24.1,1985
GUERRERO,31.2,FEB,31.4,1985
HIDALGO,23.6,FEB,22.8,1985
JALISCO,28.5,FEB,27.4,1985
ESTADO DE MÉXICO,22.2,FEB,21.8,1985
MICHOACÁN,28.0,FEB,27.7,1985
MORELOS,28.7,FEB,29.3,1985
NAYARIT,31.4,FEB,29.2,1985
NUEVO LEÓN,27.4,FEB,20.8,1985
OAXACA,28.4,FEB,27.9,1985
PUEBLA,24.7,FEB,23.6,1985
QUERÉTARO,25.9,FEB,24.4,1985
QUINTANA ROO,31.9,FEB,30.1,1985
SAN LUIS POTOSÍ,27.3,FEB,24.2,1985
SINALOA,31.7,FEB,27.4,1985
SONORA,30.0,FEB,23.1,1985
TABASCO,32.3,FEB,29.3,1985
TAMAULIPAS,29.7,FEB,23.4,1985
TLAXCALA,21.7,FEB,21.3,1985
VERACRUZ,28.1,FEB,24.2,1985
YUCATÁN,32.8,FEB,31.4,1985
ZACATECAS,25.3,FEB,22.6,1985
AGUASCALIENTES,25.2,MAR,26.5,1985
BAJA CALIFORNIA,25.9,MAR,20.5,1985
BAJA CALIFORNIA SUR,29.9,MAR,27.0,1985
CAMPECHE,33.4,MAR,34.5,1985
COAHUILA,26.7,MAR,25.6,1985
COLIMA,32.2,MAR,33.1,1985
CHIAPAS,30.0,MAR,31.2,1985
CHIHUAHUA,24.7,MAR,22.4,1985
DISTRITO FEDERAL,23.0,MAR,25.3,1985
DURANGO,25.4,MAR,25.7,1985
GUANAJUATO,25.6,MAR,27.0,1985
GUERRERO,31.2,MAR,33.0,1985
HIDALGO,23.6,MAR,25.1,1985
JALISCO,28.5,MAR,30.0,1985
ESTADO DE MÉXICO,22.2,MAR,24.1,1985
MICHOACÁN,28.0,MAR,30.0,1985
