ENTIDAD,ANUAL,MESES,Tmin,AÑO
AGUASCALIENTES,8.7,ENE,3.2,1985
BAJA CALIFORNIA,10.2,ENE,4.5,1985
BAJA CALIFORNIA SUR,14.3,ENE,8.7,1985
CAMPECHE,19.4,ENE,15.9,1985
COAHUILA,11.8,ENE,1.8,1985
COLIMA,17.4,ENE,15.1,1985
CHIAPAS,17.2,ENE,13.9,1985
CHIHUAHUA,7.1,ENE,-1.3,1985
DISTRITO FEDERAL,8.3,ENE,4.9,1985
DURANGO,8.1,ENE,1.0,1985
GUANAJUATO,9.9,ENE,5.1,1985
GUERRERO,17.8,ENE,15.5,1985
HIDALGO,7.7,ENE,3.6,1985
JALISCO,11.9,ENE,6.9,1985
ESTADO DE MÉXICO,7.0,ENE,3.8,1985
MICHOACÁN,12.0,ENE,8.5,1985
MORELOS,13.8,ENE,10.1,1985
NAYARIT,16.5,ENE,12.7,1985
NUEVO LEÓN,12.8,ENE,3.9,1985
OAXACA,14.7,ENE,11.9,1985
PUEBLA,9.9,ENE,6.5,1985
QUERÉTARO,9.6,ENE,4.8,1985
QUINTANA ROO,19.4,ENE,15.1,1985
SAN LUIS POTOSÍ,12.9,ENE,6.3,1985
SINALOA,16.4,ENE,10.6,1985
SONORA,12.7,ENE,5.7,1985
TABASCO,21.3,ENE,17.6,1985
TAMAULIPAS,16.6,ENE,7.4,1985
TLAXCALA,5.1,ENE,1.6,1985
VERACRUZ,17.1,ENE,12.1,1985
YUCATÁN,18.9,ENE,15.0,1985
ZACATECAS,8.9,ENE,3.2,1985
AGUASCALIENTES,8.7,FEB,4.9,1985
BAJA CALIFORNIA,10.2,FEB,4.5,1985
BAJA CALIFORNIA SUR,14.3,FEB,8.4,1985
CAMPECHE,19.4,FEB,16.9,1985
COAHUILA,11.8,FEB,4.8,1985
COLIMA,17.4,FEB,13.9,1985
CHIAPAS,17.2,FEB,15.0,1985
CHIHUAHUA,7.1,FEB,-0.5,1985
DISTRITO FEDERAL,8.3,FEB,5.8,1985
DURANGO,8.1,FEB,2.5,1985
GUANAJUATO,9.9,FEB,6.4,1985
GUERRERO,17.8,FEB,15.3,1985
HIDALGO,7.7,FEB,4.8,1985
JALISCO,11.9,FEB,7.9,1985
ESTADO DE MÉXICO,7.0,FEB,4.0,1985
MICHOACÁN,12.0,FEB,8.9,1985
MORELOS,13.8,FEB,10.9,1985
NAYARIT,16.5,FEB,12.4,1985
NUEVO LEÓN,12.8,FEB,6.5,1985
OAXACA,14.7,FEB,12.3,1985
PUEBLA,9.9,FEB,7.3,1985
QUERÉTARO,9.6,FEB,5.9,1985
QUINTANA ROO,19.4,FEB,16.8,1985
