ENTIDAD,ANUAL,MESES,Prec,AÑO
AGUASCALIENTES,464.4,ENE,4.9,1985
BAJA CALIFORNIA,174.4,ENE,12.2,1985
BAJA CALIFORNIA SUR,115.6,ENE,30.3,1985
CAMPECHE,"1,015.0",ENE,20.9,1985
COAHUILA,340.3,ENE,40.7,1985
COLIMA,498.3,ENE,8.1,1985
CHIAPAS,"1,849.9",ENE,107.3,1985
CHIHUAHUA,377.7,ENE,54.6,1985
DISTRITO FEDERAL,714.1,ENE,1.1,1985
DURANGO,484.4,ENE,61.3,1985
GUANAJUATO,533.9,ENE,1.4,1985
GUERRERO,"1,046.5",ENE,15.8,1985
HIDALGO,711.3,ENE,22.5,1985
JALISCO,769.0,ENE,7.1,1985
ESTADO DE MÉXICO,777.2,ENE,3.5,1985
MICHOACÁN,765.3,ENE,1.4,1985
MORELOS,775.2,ENE,2.8,1985
NAYARIT,"1,011.3",ENE,60.8,1985
NUEVO LEÓN,519.9,ENE,36.6,1985
OAXACA,"1,386.5",ENE,10.9,1985
PUEBLA,"1,080.9",ENE,12.1,1985
QUERÉTARO,578.5,ENE,2.8,1985
QUINTANA ROO,"1,344.2",ENE,64.7,1985
SAN LUIS POTOSÍ,966.0,ENE,12.4,1985
SINALOA,792.5,ENE,115.6,1985
SONORA,391.1,ENE,44.8,1985
TABASCO,"2,493.2",ENE,189.3,1985
TAMAULIPAS,822.2,ENE,25.2,1985
TLAXCALA,686.9,ENE,2.9,1985
VERACRUZ,"1,286.9",ENE,22.8,1985
YUCATÁN,"1,099.6",ENE,56.2,1985
ZACATECAS,417.6,ENE,20.5,1985
AGUASCALIENTES,464.4,FEB,1.6,1985
BAJA CALIFORNIA,174.4,FEB,23.6,1985
BAJA CALIFORNIA SUR,115.6,FEB,0.1,1985
CAMPECHE,"1,015.0",FEB,26.7,1985
COAHUILA,340.3,FEB,6.2,1985
COLIMA,498.3,FEB,1.8,1985
CHIAPAS,"1,849.9",FEB,59.2,1985
CHIHUAHUA,377.7,FEB,9.4,1985
DISTRITO FEDERAL,714.1,FEB,1.5,1985
DURANGO,484.4,FEB,4.7,1985
GUANAJUATO,533.9,FEB,2.8,1985
GUERRERO,"1,046.5",FEB,1.2,1985
HIDALGO,711.3,FEB,14.7,1985
JALISCO,769.0,FEB,1.6,1985
ESTADO DE MÉXICO,777.2,FEB,2.5,1985
MICHOACÁN,765.3,FEB,1.4,1985
MORELOS,775.2,FEB,1.1,1985
NAYARIT,"1,011.3",FEB,3.2,1985
NUEVO LEÓN,519.9,FEB,18.9,1985
OAXACA,"1,386.5",FEB,18.7,1985
PUEBLA,"1,080.9",FEB,27.1,1985
QUERÉTARO,578.5,FEB,3.0,1985
QUINTANA ROO,"1,344.2",FEB,56.8,1985
SAN LUIS POTOSÍ,966.0,FEB,22.6,1985
SINALOA,792.5,FEB,2.4,1985
SONORA,391.1,FEB,14.9,1985
TABASCO,"2,493.2",FEB,98.7,1985
TAMAULIPAS,822.2,FEB,12.4,1985
TLAXCALA,686.9,FEB,6.1,1985
VERACRUZ,"1,286.9",FEB,39.8,1985
YUCATÁN,"1,099.6",FEB,31.6,1985
ZACATECAS,417.6,FEB,1.2,1985
AGUASCALIENTES,464.4,MAR,1.9,1985
BAJA CALIFORNIA,174.4,MAR,10.0,1985
BAJA CALIFORNIA SUR,115.6,MAR,0.3,1985
CAMPECHE,"1,015.0",MAR,16.5,1985
COAHUILA,340.3,MAR,4.9,1985
COLIMA,498.3,MAR,0.2,1985
CHIAPAS,"1,849.9",MAR,60.5,1985
CHIHUAHUA,377.7,MAR,5.1,1985
DISTRITO FEDERAL,714.1,MAR,4.7,1985
DURANGO,484.4,MAR,0.5,1985
GUANAJUATO,533.9,MAR,3.0,1985
GUERRERO,"1,046.5",MAR,6.2,1985
HIDALGO,711.3,MAR,17.7,1985
JALISCO,769.0,MAR,2.3,1985
ESTADO DE MÉXICO,777.2,MAR,10.7,1985
MICHOACÁN,765.3,MAR,5.9,1985
MORELOS,775.2,MAR,3.3,1985
NAYARIT,"1,011.3",MAR,5.2,1985
NUEVO LEÓN,519.9,MAR,22.2,1985
OAXACA,"1,386.5",MAR,31.8,1985
PUEBLA,"1,080.9",MAR,25.3,1985
QUERÉTARO,578.5,MAR,1.2,1985
